GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mesos,it.polimi.ingsw.am02.client.view.gui.components,GameCardView,201,0,12,0,52,0,13,0,7,0
Mesos,it.polimi.ingsw.am02.client.view.gui.components,PlayerSidebarItem,248,0,18,0,47,0,11,0,2,0
Mesos,it.polimi.ingsw.am02.client.view.gui.components,ReservePileView.Token,12,0,0,0,1,0,1,0,1,0
Mesos,it.polimi.ingsw.am02.client.view.gui.components,OfferTileView,111,0,2,0,27,0,4,0,3,0
Mesos,it.polimi.ingsw.am02.client.view.gui.components,ReservePileView,310,0,6,0,33,0,6,0,3,0
Mesos,it.polimi.ingsw.am02.client.view.gui.components,TurnOrderCaveView.CaveLayoutConfig,12,0,0,0,5,0,1,0,1,0
Mesos,it.polimi.ingsw.am02.client.view.gui.components,TurnOrderCaveView,195,0,12,0,46,0,10,0,3,0
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,ShamanicWinMultiplierEffect,0,54,0,4,0,16,0,5,0,3
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,EndGameFullSetPPEffect,0,78,0,8,0,21,0,7,0,3
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,EndGameCharacterPrestigeEffect,0,57,0,4,0,17,0,5,0,3
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,PrestigePointMultiplierPerTypeEffect,0,57,0,4,0,17,0,5,0,3
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,ShamanicImmunityEffect,0,30,0,4,0,11,0,6,0,4
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,FlatPrestigeBonusEffect,0,44,0,2,0,13,0,4,0,3
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,FullSetFoodRewardEffect,0,87,0,6,0,22,0,7,0,4
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,InventorPairRewardEffect,0,99,0,6,0,24,0,7,0,4
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,TurnOrderFoodBonusEffect,0,54,0,4,0,16,0,5,0,3
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,ShamanicExtraIconsEffect,0,77,0,4,0,20,0,6,0,4
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,EventCharacterBonusEffect,0,165,3,13,0,40,3,9,0,4
Mesos,it.polimi.ingsw.am02.server.model.buildingeffects,ExtraTurnEffect,0,38,0,2,0,13,0,4,0,3
Mesos,it.polimi.ingsw.am02.server.controller.persistence,CommandRecord,9,0,0,0,1,0,1,0,1,0
Mesos,it.polimi.ingsw.am02.server.controller.persistence,NoOpCommandLogger,4,3,0,0,4,1,4,1,4,1
Mesos,it.polimi.ingsw.am02.server.controller.persistence,GameInitRecord,15,0,0,0,1,0,1,0,1,0
Mesos,it.polimi.ingsw.am02.server.controller.persistence,CommandLogger,205,0,4,0,47,0,8,0,6,0
Mesos,it.polimi.ingsw.am02.server.controller.persistence,CommandLogReader,180,0,14,0,32,0,11,0,4,0
Mesos,it.polimi.ingsw.am02.server.controller.persistence,ConnectionStatus,0,27,0,0,0,2,0,1,0,1
Mesos,it.polimi.ingsw.am02.server.model.enumerations,EventType,0,27,0,0,0,2,0,1,0,1
Mesos,it.polimi.ingsw.am02.server.model.enumerations,InventionType,0,63,0,0,0,2,0,1,0,1
Mesos,it.polimi.ingsw.am02.server.model.enumerations,CharacterType,0,39,0,0,0,2,0,1,0,1
Mesos,it.polimi.ingsw.am02.common.serialization,JsonMessageCodecImpl,53,0,2,0,13,0,5,0,4,0
